Genus	Species	1C (pg)	Original Reference	Paper
Pisum	sativum	4.88	Bennett and Smith, 1976 (Ref. 2)	1976
Bromus	madritensis	4.88	Bennett and Smith, 1976 (Ref. 2)	1976
Senecio	minimus	4.93	Lawrence, 1985 (Ref. 114)	1991
Triticum	urartu	4.93	Bennett and Smith, 1976 (Ref. 2)	1976
Lathyrus	ciliolatus	4.93	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Senecio	squarrosus	4.95	Lawrence, 1985 (Ref. 114)	1991
Nicotiana	stocktonii	5.00	Leitch et al., 2008 (Ref. 566)	2011
Hordeum	hystrix	5.03	Eilam et al., 2007 (Ref. 605)	2011
Nicotiana	nesophila	5.03	Leitch et al., 2008 (Ref. 566)	2011
Aegilops	umbellulata	5.05	Furuta, 1970 (Ref. 3)	1976
Sorghum	caffrorum	5.08	Paroda and Rees, 1971 (Ref. 18)	1976
Vicia	alpestris	5.08	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Lathyrus	basalticus	5.10	Nandini et al., 1997 (Ref. 319)	2000
Aegilops	squarrosa	5.10	Rees and Walters, 1965 (Ref. 4)	1976
Avena	wiestii	5.13	Bullen and Rees, 1972 (Ref. 34)	1976
Milium	montianum	5.15	Bennett and Thomas, 1991 (Ref. 197)	1995
Aegilops	speltoides	5.15	Furuta et al., 1986 (Ref. 265)	1995
Chamaemelum	fuscatum	5.15	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Ranunculus	falcatus	5.15	Smith and Bennett, 1975 (Ref. 45)	1976
Typhonium	cuspidatum	5.17	Ghosh et al., 2001 (Ref. 411)	2005a
Lathyrus	setifolius	5.18	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	graminea	5.18	Chooi WY., 1971 (Ref. 21)	1976
Nicotiana	tabacum	5.18	Leitch et al., 2008 (Ref. 566)	2011
Lathyrus	inconspicuus	5.20	Bennett and Smith, 1976 (Ref. 2)	1976
Anacyclus	clavatus	5.25	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Avena	clauda	5.28	Iiyama and Grant, 1972 (Ref. 35)	1976
Neopallasia	pectinata	5.28	Garcia et al., 2004 (Ref. 521)	2011
Nicotiana	rustica	5.30	Leitch et al., 2008 (Ref. 566)	2011
Avena	longiglumis	5.33	Bennett and Smith, 1976 (Ref. 2)	1976
Haynaldia	villosa	5.35	Bennett, 1972 (Ref. 1)	1976
Helianthus	paradoxus	5.35	Sims and Price, 1985 (Ref. 116)	1991
Sorghum	nervosum	5.35	Paroda and Rees, 1971 (Ref. 18)	1976
Aira	multiculmis	5.35	Albers, 1980 (Ref. 73)	1982
Briza	humilis	5.38	Murray, 1984 (Ref. 204)	1995
Apera	spica-venti	5.40	Bennett et al., 1998 (Ref. 375)	2000
Crepis	pulchra	5.40	Brown and Jone, 1975 (Ref. 42)	1976
Hordeum	geniculatum	5.40	Bennett and Smith, 1971 (Ref. 50)	1976
Nicotiana	repanda	5.44	Leitch et al., 2008 (Ref. 566)	2011
Daucus	montanus	5.48	Owens, 1974 (Ref. 25)	1976
Avena	ventricosa	5.48	Iiyama and Grant, 1972 (Ref. 35)	1976
Eremopyrum	triticeum	5.50	Bennett, 1972 (Ref. 1)	1976
Vicia	cappadocica	5.50	Maxted et al., 1991 (Ref. 190)	1995
Bromus	japonicus	5.50	Bennett and Smith, 1976 (Ref. 2)	1976
Hordeum	glaucum	5.50	Bennett and Smith, 1971 (Ref. 50)	1976
Hordeum	marinum	5.50	Bennett and Smith, 1971 (Ref. 50)	1976
Hordeum	spontaneum	5.50	Bennett and Smith, 1971 (Ref. 50)	1976
Caladium	bicolor	5.52	Ghosh et al., 2001 (Ref. 411)	2005a
Hordeum	pusillum	5.53	Bennett and Smith, 1971 (Ref. 50)	1976
Sorghum	conspicuum	5.55	Paroda and Rees, 1971 (Ref. 18)	1976
Hordeum	vulgare	5.55	Bennett and Smith, 1976 (Ref. 2)	1976
Hordeum	murinum	5.55	Bennett and Smith, 1971 (Ref. 50)	1976
Cenchrus	caliculatus	5.56	Murray et al., 2005 (Ref. 528)	2011
Oxalis	niederleinii	5.58	De Azkue and Martínez, 1984 (Ref. 169)	1995
Helianthus	anomalus	5.60	Sims and Price, 1985 (Ref. 116)	1991
Bromus	aegyptiacus	5.65	Bennett and Smith, 1976 (Ref. 2)	1976
Ranunculus	ophioglossifolius	5.65	Goepfert, 1974 (Ref. 44)	1976
Sorghum	durra	5.70	Paroda and Rees, 1971 (Ref. 18)	1976
Anacyclus	valentinus	5.70	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Bromus	brachystachys	5.73	Bennett and Smith, 1976 (Ref. 2)	1976
Helianthus	deserticola	5.75	Sims and Price, 1985 (Ref. 116)	1991
Bromus	squarrosus	5.75	Bennett and Smith, 1976 (Ref. 2)	1976
Lathyrus	gorgoni	5.75	Nandini et al., 1997 (Ref. 319)	2000
Alopecurus	utriculatus	5.83	Bennett and Smith, 1987 (Ref. 164)	1995
Bromus	alopecuros	5.88	Bennett and Smith, 1976 (Ref. 2)	1976
Aegilops	searsii	5.90	Furuta et al., 1986 (Ref. 265)	1995
Bromus	brizaeformis	5.93	Bennett and Smith, 1976 (Ref. 2)	1976
Nicotiana	debneyi	6.00	Narayan, 1987 (Ref. 199)	1995
Lathyrus	clymenum	6.00	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	articulata	6.03	Chooi WY., 1971 (Ref. 21)	1976
Lathyrus	armenius	6.03	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Aira	caryophyllea	6.03	Albers, 1980 (Ref. 73)	1982
Aegilops	longissima	6.05	Furuta et al., 1986 (Ref. 265)	1995
Lathyrus	pseudo-cicera	6.05	Nandini et al., 1997 (Ref. 319)	2000
Lathyrus	articulatus	6.08	Narayan, 1982 (Ref. 113)	1991
Lathyrus	incurvus	6.08	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Crepis	dioscoridis	6.13	Brown and Jone, 1975 (Ref. 42)	1976
Ranunculus	arvensis	6.13	Smith and Bennett, 1975 (Ref. 45)	1976
Aegilops	comosa	6.18	Furuta, 1970 (Ref. 3)	1976
Triticum	monococcum	6.23	Bennett and Smith, 1976 (Ref. 2)	1976
Erechtites	valerianaefolia	6.25	Lawrence, 1985 (Ref. 114)	1991
Bromus	arvensis	6.25	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	meyeri	6.25	Chooi WY., 1971 (Ref. 21)	1976
Ranunculus	parviflorus	6.25	Goepfert, 1974 (Ref. 44)	1976
Bromus	berteroanus	6.26	Klos et al., 2009 (Ref. 635)	2012
Crepis	palaestina	6.28	Brown and Jone, 1975 (Ref. 42)	1976
Aegilops	mutica	6.30	Furuta, 1970 (Ref. 3)	1976
Aegilops	uniaristata	6.30	Furuta, 1970 (Ref. 3)	1976
Senecio	biserratus	6.33	Lawrence, 1985 (Ref. 114)	1991
Bromus	danthoniae	6.33	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Nicotiana	suaveolens	6.38	Narayan, 1987 (Ref. 199)	1995
Lathyrus	nissolia	6.45	Narayan, 1982 (Ref. 113)	1991
Briza	maxima	6.48	Schifino and Winge, 1983 (Ref. 117)	1991
Lathyrus	chloranthus	6.50	Nandini et al., 1997 (Ref. 319)	2000
Vicia	galilaea	6.52	Cremonini et al., 1992 (Ref. 408)	2005a
Lathyrus	hirticarpus	6.55	Nandini et al., 1997 (Ref. 319)	2000
Vicia	assyriaca	6.58	Maxted et al., 1991 (Ref. 190)	1995
Typhonium	trilobatum	6.59	Ghosh et al., 2001 (Ref. 411)	2005a
Vicia	tigridis	6.60	Maxted et al., 1991 (Ref. 190)	1995
Bromus	caroli-henrici	6.63	Bennett and Smith, 1987 (Ref. 164)	1995
Lathyrus	blepharicarpus	6.65	Nandini et al., 1997 (Ref. 319)	2000
Pyrrhopappus	multicaulis	6.65	Price and Bachmann, 1976 (Ref. 70)	1982
Papaver	setigerum	6.68	Srivastava and Lavania, 1991 (Ref. 167)	1995
Lachnagrostis	littoralis	6.74	Murray et al., 2005 (Ref. 528)	2011
Vicia	pannonica	6.75	Raina and Rees, 1983 (Ref. 112)	1991
Ranunculus	revelieri	6.75	D'Ovidio and Marchi, 1990 (Ref. 196)	1995
Vicia	hyrcanica	6.75	Chooi WY., 1971 (Ref. 21)	1976
Ranunculus	marginatus	6.75	Goepfert, 1974 (Ref. 44)	1976
Vicia	hybrida	6.78	Martin and Shanks, 1966 (Ref. 19)	1976
Lathyrus	ochrus	6.83	Narayan, 1982 (Ref. 113)	1991
Lathyrus	sphaericus	6.85	Rees and Hazarika, 1969 (Ref. 15)	1976
Lathyrus	aphaca	6.90	Rees and Hazarika, 1969 (Ref. 15)	1976
Vicia	dionysiensis	6.90	Maxted et al., 1991 (Ref. 190)	1995
Triticum	aegilopoides	6.90	Rees and Walters, 1965 (Ref. 4)	1976
Lathyrus	cicera	7.00	Rees and Hazarika, 1969 (Ref. 15)	1976
Lathyrus	hierosolymitanus	7.00	Nandini et al., 1997 (Ref. 319)	2000
Aegilops	sharonensis	7.05	Furuta et al., 1986 (Ref. 265)	1995
Aegilops	bicornis	7.13	Rees and Walters, 1965 (Ref. 4)	1976
Lathyrus	annuus	7.23	Rees and Hazarika, 1969 (Ref. 15)	1976
Secale	fragile	7.23	Bennett and Smith, 1976 (Ref. 2)	1976
Leucanthemum	myconis	7.23	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Vicia	narbonensis	7.28	Chooi WY., 1971 (Ref. 21)	1976
Chrysanthemum	segetum	7.35	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Vicia	lutea	7.40	Chooi WY., 1971 (Ref. 21)	1976
Vicia	hajastana	7.50	Chooi WY., 1971 (Ref. 21)	1976
Lathyrus	cassius	7.53	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Lathyrus	spathulatus	7.58	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Lathyrus	belinensis	7.65	Nandini et al., 1997 (Ref. 319)	2000
Artemisia	leucodes	7.70	Garcia et al., 2004 (Ref. 521)	2011
Vicia	mollis	7.70	Maxted et al., 1991 (Ref. 190)	1995
Bromus	oxyodon	7.75	Bennett and Smith, 1976 (Ref. 2)	1976
Hordeum	depressum	7.76	Jakob et al., 2004 (Ref. 491)	2011
Lathyrus	odoratus	7.78	Murray et al., 1992 (Ref. 211)	1995
Leucanthemum	multicaule	7.78	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Vicia	serratifolia	7.83	Raina and Rees, 1983 (Ref. 112)	1991
Bromus	lepidus	7.85	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	hyaeniscyamus	7.90	Maxted et al., 1991 (Ref. 190)	1995
Anthemis	cota	7.90	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Bromus	adoensis	8.05	Bennett and Smith, 1976 (Ref. 2)	1976
Secale	vavilovii	8.23	Bennett and Smith, 1976 (Ref. 2)	1976
Senecio	velleioides	8.28	Lawrence, 1985 (Ref. 114)	1991
Secale	cereale	8.28	Bennett and Smith, 1976 (Ref. 2)	1976
Lathyrus	digitatus	8.28	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Vicia	michauxii	8.30	Chooi WY., 1971 (Ref. 21)	1976
Lathyrus	sativus	8.40	Narayan, 1982 (Ref. 113)	1991
Bromus	interruptus	8.43	Bennett and Smith, 1976 (Ref. 2)	1976
Anacyclus	radiatus	8.45	Nagl and Ehrendorfer, 1974 (Ref. 32)	1976
Siebera	pungens	8.49	Garnatje et al., 2004 (Ref. 502)	2011
Avena	vaviloviana	8.50	Bullen and Rees, 1972 (Ref. 34)	1976
Bromus	rigidus	8.60	Bennett and Smith, 1976 (Ref. 2)	1976
Bulbine	alata	8.63	Watson, 1981 (Ref. 128)	1991
Ranunculus	trilobus	8.70	Goepfert, 1974 (Ref. 44)	1976
Arrhenechtites	mixta	8.78	Lawrence, 1985 (Ref. 114)	1991
Vicia	eristalioides	8.78	Maxted et al., 1991 (Ref. 190)	1995
Chrysanthemum	viscidehirtum	8.80	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Bulbine	semibarbata	8.88	Bennett and Smith, 1976 (Ref. 2)	1976
Avena	barbata	8.93	Bennett and Smith, 1976 (Ref. 2)	1976
Avena	abyssinica	8.95	Bullen and Rees, 1972 (Ref. 34)	1976
Lathyrus	tingitanus	9.05	Evans et al., 1972 (Ref. 7)	1976
Parapholis	incurva	9.08	Bennett and Smith, 1987 (Ref. 164)	1995
Vicia	kalakhensis	9.18	Maxted et al., 1991 (Ref. 190)	1995
Bromus	hordeaceus	9.18	Bennett and Smith, 1976 (Ref. 2)	1976
Aegilops	ovata	9.23	Furuta, 1970 (Ref. 3)	1976
Avena	magna	9.30	Bennett and Smith, 1976 (Ref. 2)	1976
Eranthis	hyemalis	9.30	Bennett and Smith, 1976 (Ref. 2)	1976
Aegilops	triuncialis	9.45	Furuta, 1970 (Ref. 3)	1976
Vicia	peregrina	9.48	Chooi WY., 1971 (Ref. 21)	1976
Lathyrus	laxiflorus	9.58	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Aegilops	ventricosa	9.80	Furuta, 1970 (Ref. 3)	1976
Hordeum	marinum	9.82	Jakob et al., 2004 (Ref. 491)	2011
Ranunculus	fontanus	9.85	D'Ovidio and Marchi, 1990 (Ref. 196)	1995
Lathyrus	hirsutus	9.98	Narayan, 1982 (Ref. 113)	1991
Vicia	melanops	10.00	Raina and Rees, 1983 (Ref. 112)	1991
Triticum	araraticum	10.05	Hülgenhof et al., 1988 (Ref. 259)	1995
Caladium	bicolor	10.13	Ghosh et al., 2001 (Ref. 411)	2005a
Aegilops	geniculata	10.29	Eilam et al., 2008 (Ref. 604)	2011
Chrysanthemum	carinatum	10.43	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Aegilops	crassa	10.48	Furuta, 1970 (Ref. 3)	1976
Aegilops	columnaris	10.50	Furuta, 1970 (Ref. 3)	1976
Lathyrus	chrysanthus	10.53	Callimassia and Bennett, 1992 (Ref. 269-H)	1995
Nigella	damascena	10.55	Evans et al., 1972 (Ref. 7)	1976
Nigella	sativa	10.63	Bennett and Smith, 1976 (Ref. 2)	1976
Aegilops	neglecta	10.64	Eilam et al., 2008 (Ref. 604)	2011
Hordeum	glaucum	10.65	Bennett et al., 1998 (Ref. 375)	2000
Senecio	vagus	10.73	Lawrence, 1985 (Ref. 114)	1991
Hordeum	geniculatum	10.78	Bennett and Smith, 1971 (Ref. 50)	1976
Bromus	commutatus	10.88	Bennett and Smith, 1976 (Ref. 2)	1976
Hordeum	leporinum	10.88	Bennett and Smith, 1971 (Ref. 50)	1976
Hordeum	murinum	11.10	Bennett and Smith, 1971 (Ref. 50)	1976
Aegilops	biuncialis	11.30	Furuta, 1970 (Ref. 3)	1976
Triticum	timopheevii	11.30	Rees and Walters, 1965 (Ref. 4)	1976
Ranunculus	muricatus	11.60	Smith and Bennett, 1975 (Ref. 45)	1976
Bromus	diandrus	11.95	Bennett and Smith, 1976 (Ref. 2)	1976
Triticum	dicoccum	12.03	Rees and Walters, 1965 (Ref. 4)	1976
Triticum	turgidum	12.28	Bennett and Smith, 1976 (Ref. 2)	1976
Triticum	dicoccoides	12.28	Rees and Walters, 1965 (Ref. 4)	1976
Aegilops	kotschyi	12.30	Furuta, 1975 (Ref. 93)	1982
Hordeum	arizonicum	12.34	Jakob et al., 2004 (Ref. 491)	2011
Aegilops	peregrina	12.52	Eilam et al., 2008 (Ref. 604)	2011
Avena	ludoviciana	12.53	Bennett and Smith, 1976 (Ref. 2)	1976
Triticum	durum	12.66	Boyko et al., 1984 (Ref. 610)	2011
Avena	nuda	12.93	Bullen and Rees, 1972 (Ref. 34)	1976
Helianthus	agrestis	12.95	Sims and Price, 1985 (Ref. 116)	1991
Bromus	intermedius	12.95	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	noeana	13.08	Maxted et al., 1991 (Ref. 190)	1995
Avena	sativa	13.23	Bennett and Smith, 1976 (Ref. 2)	1976
Vicia	faba	13.33	Bennett and Smith, 1976 (Ref. 2)	1976
Bromus	racemosus	13.48	Bennett and Smith, 1976 (Ref. 2)	1976
Avena	sterilis	13.65	Bennett and Smith, 1976 (Ref. 2)	1976
Avena	byzantina	13.70	Bennett and Smith, 1976 (Ref. 2)	1976
Aegilops	variabilis	13.78	Furuta, 1970 (Ref. 3)	1976
Bromus	arizonicus	13.80	Klos et al., 2009 (Ref. 635)	2012
Bromus	grossus	13.93	Bennett and Smith, 1976 (Ref. 2)	1976
Bromus	secalinus	13.95	Bennett and Smith, 1976 (Ref. 2)	1976
Avena	fatua	14.15	Bullen and Rees, 1972 (Ref. 34)	1976
Hordeum	murinum	14.93	Jakob et al., 2004 (Ref. 491)	2011
Aegilops	triaristata	15.50	Furuta, 1970 (Ref. 3)	1976
Aegilops	crassa	15.70	Furuta, 1970 (Ref. 3)	1976
Aegilops	recta	16.22	Eilam et al., 2008 (Ref. 604)	2011
Hordeum	leporinum	16.40	Bennett and Smith, 1971 (Ref. 50)	1976
Adonis	annua	16.85	Zonneveld et al., 2005 (Ref. 466)	2005b
Bulbine	semibarbata	17.00	Watson, 1981 (Ref. 128)	1991
Triticum	aestivum	17.33	Bennett and Smith, 1976 (Ref. 2)	1976
Triticum	zhukovskyi	17.74	Eilam et al., 2008 (Ref. 604)	2011
Aegilops	vavilovii	18.35	Furuta, 1970 (Ref. 3)	1976
Aegilops	juvenalis	18.80	Furuta, 1970 (Ref. 3)	1976
Triticale	(hexaploid)	19.80	Hülgenhof et al., 1988 (Ref. 259)	1995
Bulbine	semibarbata	19.90	Watson, 1981 (Ref. 128)	1991
Leucanthemella	linearis	20.20	Fujimoto et al., 2005 (Ref. 570)	2011
Aegilops	triaristata	21.63	Furuta, 1970 (Ref. 3)	1976
Damasonium	alisma	23.62	Hanson et al., 2002 (Ref. 465)	2005a
Triticale	(octoploid)	25.98	Bennett, 1972 (Ref. 1)	1976
Vicia	faba	27.40	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	
